Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Gambia, The",GMB,38.312,47.868,55.662,56.384,57.105,57.82,58.528,59.228,59.918,60.599,61.27,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Georgia,GEO,55.038,52.638,55.535,55.919,56.303,56.685,57.067,57.448,57.837,58.231,58.632,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Germany,DEU,73.118,74.965,76.966,77.16,77.17,77.18,77.19,77.2,77.224,77.261,77.312,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ghana,GHA,36.441,43.929,50.713,51.394,52.073,52.748,53.419,54.086,54.749,55.407,56.06,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greece,GRC,71.467,72.716,76.292,76.649,77.004,77.355,77.702,78.046,78.387,78.724,79.058,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greenland,GRL,79.698,81.6,84.383,84.755,85.2,85.551,85.813,86.071,86.326,86.574,86.816,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Grenada,GRD,33.427,35.698,35.865,35.859,35.869,35.896,35.938,35.997,36.072,36.164,36.272,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guam,GUM,90.796,93.129,94.099,94.188,94.277,94.364,94.449,94.534,94.617,94.699,94.78,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guatemala,GTM,41.992,45.332,48.403,48.701,49,49.311,49.634,49.971,50.319,50.68,51.054,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea,GIN,28.026,30.869,33.678,33.966,34.255,34.545,34.836,35.141,35.46,35.793,36.14,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,30.83,36.243,40.111,40.508,40.908,41.31,41.715,42.123,42.533,42.945,43.36,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guyana,GUY,29.583,28.694,26.634,26.4,26.4,26.4,26.414,26.441,26.482,26.538,26.606,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Haiti,HTI,28.51,35.6,47.509,48.492,49.477,50.46,51.444,52.427,53.396,54.346,55.278,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Honduras,HND,40.46,45.458,51.885,52.543,53.202,53.858,54.514,55.165,55.813,56.457,57.096,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,99.517,100,100,100,100,100,100,100,100,100,100,..
